3.972999999999999969e-03,3.833799999999999708e-02,1.477799999999999947e-02,4.328040426741000265e+06
6.415999999999999828e-03,4.200299999999999867e-02,1.844399999999999859e-02,4.328040429166999646e+06
8.859999999999999820e-03,4.811200000000000199e-02,1.477799999999999947e-02,4.328040431592999958e+06
1.374700000000000054e-02,5.544199999999999823e-02,9.891999999999999751e-03,4.328040434019000269e+06
1.435799999999999924e-02,7.071399999999999908e-02,8.670000000000000623e-03,4.328040436444999650e+06
1.191399999999999924e-02,8.354200000000000514e-02,9.280999999999999320e-03,4.328040438870999962e+06
1.374700000000000054e-02,9.514899999999999747e-02,8.059000000000000191e-03,4.328040441297000274e+06
1.252499999999999968e-02,1.091980000000000034e-01,5.004999999999999900e-03,4.328040443722999655e+06
7.027000000000000260e-03,1.287459999999999993e-01,3.782999999999999904e-03,4.328040446148999967e+06
2.139999999999999975e-03,1.544020000000000115e-01,3.782999999999999904e-03,4.328040448575000279e+06
9.179999999999999792e-04,1.794479999999999964e-01,4.394000000000000336e-03,4.328040451000999659e+06
3.080000000000000055e-04,1.983850000000000058e-01,3.782999999999999904e-03,4.328040453426999971e+06
9.179999999999999792e-04,1.983850000000000058e-01,4.394000000000000336e-03,4.328040455853000283e+06
2.139999999999999975e-03,1.788369999999999960e-01,3.782999999999999904e-03,4.328040458278999664e+06
3.361999999999999971e-03,1.476830000000000087e-01,-2.936999999999999941e-03,4.328040460704999976e+06
3.972999999999999969e-03,1.256919999999999982e-01,-1.087800000000000052e-02,4.328040463130000047e+06
1.528999999999999977e-03,1.226369999999999960e-01,-7.823999999999999358e-03,4.328040465556000359e+06
-3.029999999999999924e-04,1.354660000000000031e-01,-2.936999999999999941e-03,4.328040467981999740e+06
-1.525000000000000097e-03,1.507370000000000099e-01,-2.325999999999999943e-03,4.328040470408000052e+06
-3.029999999999999924e-04,1.611219999999999875e-01,-7.823999999999999358e-03,4.328040472834000364e+06
